NCH_SYMBOL, NCH_PREV_NAME, NCH_NEW_NAME, NCH_DT
TTKPHARMA,TTK Pharma Ltd.,TTK Healthcare Limited,31-MAY-2000
TTML,Hughes Tele.com (India) Limited,Tata Teleservices (Maharashtra) Limited,25-JUN-2003
TULIP,Tulip IT Services Limited,Tulip Telecom Limited,21-MAY-2008
TV18BRDCST,ibn18 Broadcast Limited,TV18 Broadcast Limited,19-JUL-2011
TVSMOTOR,TVS Suzuki Limited,TVS Motor Company Limited,03-DEC-2001
TVSSRICHAK,SRICHAKRA TYRES LTD,TVS Srichakra Ltd,12-NOV-1997
TVSWHIRL,TVS WHIRLPOOL LTD,Whirlpool Washing Machines Limited,04-JUL-1996
UBPETRO,UB Petroproducts Ltd,SPIC Organics Limited,09-JUL-1997
UFLEX,Flex Industries Ltd.,UFLEX Limited,17-APR-2007
UJAAS,M AND B Switchgears Limited,Ujaas Energy Limited,23-SEP-2013
ULTRACEMCO,Ultratech Cemco Limited,UltraTech Cement Limited,17-DEC-2004
UMESL,Usha Martin Infotech Limited,Usha Martin Education & Solutions Limited,07-JAN-2010
UNITEDCARB,United Carbon Ltd,Cabot India Limited,16-OCT-1996
UNITEDPHOS,United Phosphorous Limited,UPL Limited,23-OCT-2013
UPL,United Phosphorus Limited,UPL Limited,23-OCT-2013
USHAMART,Usha Beltron Limited,Usha Martin Limited,20-OCT-2004
UTTAMSTL,Uttam Steel Ltd,Uttam Galva Steels Limited,25-JUL-2002
UTTAMVALUE,Lloyds Steel Industries Limited,Uttam Value Steels Limited,29-APR-2013
V2RETAIL,Vishal Retail Limited,V2 Retail Limited,24-FEB-2012
VAIBHAVGBL,Vaibhav Gems Limited,Vaibhav Global Limited,24-DEC-2012
VAKRANGEE,Vakrangee Softwares Limited,VAKANGEE LIMITED,27-NOV-2013
VALUEIND,Videocon Appliances Ltd.,Value Industries Limited,22-MAY-2008
VARDMNPOLY,Vardhman Polytex Ltd,Vardhman Polytex Limited,30-MAR-2004
VATSALTD,Vatsa Corporation Ltd,Vatsa Corporations Limited,19-NOV-1997
VATSMUSC,BABA BUSINESS SERVICES LTD,Vatsa Music Limited,14-JAN-1997
VEDL,Sesa Sterlite Limited,Vedanta Limited,07-MAY-2015
VENKEYS,Western Hatcheries Ltd,Venky's (India) Limited,26-JUL-2000
VHL,Vardhman Spinning & General Mills Limited,Vardhman Holdings Limited,17-APR-2006
VIDEOIND,Videocon Leasing And Industrial Finance Ltd.,Videocon Industries Limited,21-SEP-2004
VIDHIING,Vidhi Dyestuffs Manufacturing Limited,Vidhi Specialty Food Ingredients Limited,01-MAR-2017
VIKASECO,Vikas GlobalOne Limited,Vikas EcoTech Limited,21-DEC-2015
VIKASHYB,VIKAS HYBRIDS AND ELECTRON LTD.,Vhel Industries Limited,04-JUL-1996
VIPCLOTHNG,Maxwell Industries Limited,VIP CLOTHING LIMITED,21-DEC-2016
VIPPYSOLVX,VIPPY INDUSTRIES LTD.,Vippy Industries Limited,09-JUL-1997
VISESHINFO,Visesh Infosystems Ltd.,Visesh Infotecnics Limited,14-SEP-2004
VISUALSOFT,VisualSoft (India) Ltd.,VisualSoft Technologies Limited,12-JAN-2000
VTL,Mahavir Spinning Mills Ltd,Vardhman Textiles Limited,11-OCT-2006
VTXIND,Vijayeswari Textiles Limited,VTX Industries Limited,04-APR-2011
WABCOINDIA,WABCO-TVS (INDIA) Limited,WABCO India Limited,06-SEP-2011
WARTSILA,Wartsila Diesel (India) Ltd,Wartsila India Limited,21-FEB-2001
WEBELSOLAR,Websol Energy Systems Limited,Websol Energy System Limited,31-OCT-2011
WEIZMANIND,Weizmann Industries Ltd,Weizmann Limited,18-FEB-1997
WELCORP,Welspun Gujarat Stahl Rohren Limited,Welspun Corp Limited,17-MAY-2010
WELDFLUX,Weldflux (I) Ltd,UBE Industries Limited,11-JUL-1996
WELENT,Welspun Projects Limited,Welspun Enterprises Limited,24-JUN-2015
WELSPUNPOL,WELSPUN POLYESTER (I) LTD.,Welspun India Limited,04-JUL-1996
WESTERNBIO,WESTERN BIO SYSTEMS LTD,Western Bio Systems Limited,11-AUG-1999
WINDSOR,DGP Windsor India Ltd.,Windsor Machines Limited,05-APR-2005
WINSOMEDJ,Su-Raj Diamonds and Jewellery Limited,Winsome Diamonds and Jewellery Limited,24-JUL-2012
WOOLWORTH,Woolworth (India) Ltd,Uniworth Limited,29-NOV-1999
WOPOLIN,Bajaj Plastics Ltd,Wopolin Plastics Limited,23-NOV-2005
WSTCSTPAPR,West Coast Paper Mills Limited,West Coast Paper Mills Limited,22-NOV-2016
WYETH,Wyeth Lederle Ltd.,Wyeth Limited,03-JUN-2004
XCHANGING,Cambridge Solutions Limited,Xchanging Solutions Limited,25-JUN-2012
XLENERGY,XL Telecom & Energy Limited,XL Energy Limited,13-DEC-2010
YOKOGAWA,Yokogawa Blue Star Ltd.,Yokogawa India Limited,14-SEP-2004
ZANDUREALT,Zandu Pharmaceutical works Ltd.,Zandu Realty Limited,10-MAR-2010
ZEEL,Zee Telefilms Ltd,Zee Entertainment Enterprises Limited,28-FEB-2007
ZEEMEDIA,Zee News Limited,Zee Media Corporation Limited,30-JUL-2013
ZENSARTECH,Fujitsu ICIM Ltd,Zensar Technologies Limited,03-DEC-2001
ZUARIGLOB,Zuari Industries Limited,ZUARI GLOBAL LIMITED,25-SEP-2012
